Company Description,Company Name,Customer ID,Service Agreement Expiration,Website,Industry,Fax,Other Phones,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Billing Country,Shipping Street,Shipping City,Shipping State/Province,Shipping Zip/Postal Code,Shipping Country
,Gemstone Grain And Feed,1989163,7/27/2025 12:00 PM,,Feed,,Office (812-663-5175);Mill (812-663-5175),5062 W Base Road,Greensburg,IN,47240,USA,5062 W Base Road,Greensburg,IN,47240,USA
,Crystal Valley Vernon Center,1989170,7/18/2025 12:00 PM,,Feed,,Mill (507-549-3722),1911 Excel Drive,Mankato,MN,56001,USA,303 Railroad Street,Vernon Center,MN,56090,USA
,Ag Partners Goodhue,1989261,,,Feed,507-356-8881,Office (507-356-8102);Mill (507-356-8313);Office (651-923-4496),PO Box 218,Goodhue,MN,55027,USA,101 Broadway St N,Goodhue,MN,55027,USA
,Farmers Elevator And Exchange,1989265,1/5/2026 12:00 PM,,Feed,573-735-3383,Office (573-735-4543),107 S Chestnut Street,Monroe City,MO,63456,USA,107 S Chestnut Street,Monroe City,MO,63456,USA
,Farmers Feed And Supply,1989266,11/10/2025 12:00 PM,,Feed,,Office (712-725-2395),602 Main Street,Boyden,IA,51234-7701,USA,602 Main Street,Boyden,IA,51234-7701,USA
,Farmers Cooperative Society Ireton,1989269,,,Feed,,Office (712-278-2312);Mill (712-278-2311),1004 Maple Street,Ireton,IA,51027,USA,1004 Maple Street,Ireton,IA,51027,USA
,Fultz Farms Inc. ,1989297,5/16/2026 12:00 PM,,Feed,,Mill (507-626-0281);Office (507-626-0841);Office (507-629-3564),12167 Aspen Avenue,Tracy,MN,56175,USA,12167 Aspen Avenue,Tracy,MN,56175,USA
,Grassland Colony Chicken Mill Great Falls,1989312,11/18/2025 12:00 PM,,Feed,406-736-5321,Office (406-799-1263);Office (406-736-5324);Mill (406-799-1263),714 Eden Road,Great Falls,MT,59405,USA,714 Eden Road,Great Falls,MT,59405,USA
,Hamlin County Farmers Cooperative,1989320,4/13/2026 12:00 PM,,Agronomy-Dry,,Office (605-783-3621),101 1st Street,Hayti,SD,57241,USA,101 1st Street,Hayti,SD,57241,USA
,Har De Bo Farms,1989321,10/23/2025 12:00 PM,,Feed,,Office (519-289-5904);Mill (519-289-5904),"5440 Irish DriveRR#4",Appin,ON,N0L 1A0,Canada ,"5440 Irish DriveRR#4",Appin,ON,N0L 1A0,Canada 
,Heartland Colony,1989324,4/28/2026 12:00 PM,,Feed,507-368-4601,Office (507-690-8251);Office (507-368-9589);Mill (507-368-9584),2171 100th Ave,Lake Benton,MN,56149,USA,2171 100th Ave,Lake Benton,MN,56149,USA
,Mike Hopkins,1989353,3/3/2026 12:00 PM,,Feed,,Office (712-261-2682);Office (712-776-2716);Mill (712-358-0617),18551 470th St,Havelock,IA,50546,USA,18551 470th St,Havelock,IA,50546,USA
,Lismore Colony,1989432,6/18/2026 12:00 PM,,Feed,320-325-5256,Mill (320-305-0815);Office (320-325-5485);Office (320-325-5490),80391 County Road 60,Clinton,MN,56225,USA,80391 County Road 60,Clinton,MN,56225,USA
,Martig Farms Inc. ,1989443,3/22/2026 12:00 PM,,Feed,,Office (330-584-7135),10210 ST RT 534,Beloit,OH,44609,USA,10210 ST RT 534,Beloit,OH,44609,USA
,Maschhoff Carlyle,1989444,1/9/2026 12:00 PM,,Feed,,Office (618-594-0248);Mill (618-594-0239);Office (618-594-2878),7475 State Route 127,Carlyle,IL,62231,USA,7475 State Route 127,Carlyle,IL,62231,USA
,Maschhoff Griggsville,1989445,1/9/2026 12:00 PM,,Feed,,Mill (618-594-0345);Office (618-594-0360),29074 Highway 107,Griggsville,IL,62340,USA,29074 Highway 107,Griggsville,IL,62340,USA
,Maschhoff Corporate,1989446,,,Feed,618-594-8487,Mill (618-594-2878);Office (618-594-2125),7475 State Route 127,Carlyle,IL,62231,USA,7475 State Route 127,Carlyle,IL,62231,USA
,Mayfield Colony,1989448,1/26/2026 12:00 PM,,Feed,605-625-2519,Mill (605-625-3305);Office (605-625-3307);Mill (605-861-1342),43188 Mayfield Road,Willow Lake,SD,57278,USA,43188 Mayfield Road,Willow Lake,SD,57278,USA
,Miramichi Feeds Inc. ,1989469,5/17/2026 12:00 PM,,Feed,506-773-9339,Office (506-773-3070),"145 Dan Cripps StreetChatham Industrial Park",New Brunswick,NS,E1N 3A5,Canada,"145 Dan Cripps StreetChatham Industrial Park",New Brunswick,NS,E1N 3A5,Canada
,Munson Feeds,1989470,6/19/2026 12:00 PM,,Feed,320-256-4500,Office (320-256-4219);Mill (320-250-5530),PO Box 184,Melrose,MN,56352,USA,118 North 3rd Avenue West,Melrose,MN,56352,USA
,OK Colony,1989497,2/15/2026 12:00 PM,,Feed,,Office (587-787-1894);Office (403-752-4176);Mill (403-752-4176);Mill (403-795-9202),Box 540,Raymond,AB,T0K 2S0,Canada,90th Broadway N,Raymond,AB,T0K 2S0,Canada
,Rock Lake Colony,1989558,5/1/2026 12:00 PM,,Feed,,Office (204-322-5041),Box 10,Grosse Isle,MB,R0C 1G0,Canada,Box 10,Grosse Isle,MB,R0C 1G0,Canada
,Rockport Colony Alexandria,1989559,8/20/2025 12:00 PM,,Feed,,Office (605-239-4422);Office (605-239-4425),26209 Rockport Road,Alexandria,SD,57311,USA,26209 Rockport Road,Alexandria,SD,57311,USA
,Ronnfeldt Farms Inc. ,1989562,10/14/2025 12:00 PM,,Feed,402-687-2799,Office (402-687-2755),1772 County Road 6,Lyons,NE,68038,USA,1772 County Road 6,Lyons,NE,68038,USA
,Salisbury Ag Center Inc. ,1989572,8/27/2025 12:00 PM,,Feed,,Mill (660-388-6272),202 E Front Street,Salisbury,MO,65281,USA,202 E Front Street,Salisbury,MO,65281,USA
,Scratch And Peck Feeds,1989580,8/28/2025 12:00 PM,,Feed,,Office (360-318-7585);Mill (360-639-6238),880 N Hill Blvd,Burlington,WA,98233,USA,880 N Hill Blvd,Burlington,WA,98233,USA
,Select Milling,1989581,10/10/2025 12:00 PM,,Feed,507-527-8510,Office (507-527-2000);Mill (507-527-2000),15251 585th Street,Claremont,MN,55924,USA,15251 585th Street,Claremont,MN,55924,USA
,Shamrock Colony,1989584,12/1/2025 12:00 PM,,Feed,605-352-5886,Office (605-350-5558);Mill (605-350-5775),19087 413th Avenue,Carpenter,SD,57322,USA,19087 413th Avenue,Carpenter,SD,57322,USA
,Wakarusa Nutritional,1992638,7/12/2025 12:00 PM,,Feed,574-862-2085,Mill (574-862-1166);Office (574-862-1166),600 S Indiana Ave,Wakarusa,IN,46573,USA,600 S Indiana Ave,Wakarusa,IN,46573,USA
,Oberland Agriscience,2955016,,,Feed,,Office (902-701-3138),,,,,,"10 Ragged Lake Blvd, Unit 9",Halifax,NS,B3S 1C2,Canada
,Dutch Country Organics Wolcottville,1994175,9/12/2025 12:00 PM,,Feed,,Mill (260-214-1450);Office (260-854-9943),407 N Main Street,Middlebury,IN,46540,USA,109 Union Street,Wolcottville,IN,46795,USA
,Woody's Performance Horse Feeds,1994177,6/10/2025 12:00 PM,,Feed,701-225-1308,Office (701-290-8002);Mill (701-225-5161),PO Box 1934,Dickinson,ND,58601,USA,28 S 7th Avenue West,Dickinson,ND,58601,USA
,Maize-N-Bacon Inc.,2010413,3/9/2026 12:00 PM,,Feed,608-643-5370,Office (608-643-6479),E 10761 River Road,Sauk City,WI,53583-9662,USA,E 10761 River Road,Sauk City,WI,53583-9662,USA
,Renaissance Nutrition,2010446,7/23/2025 12:00 PM,,Feed,,Office (814-793-2113);Mill (814-224-4229 cell),PO Box 229,Roaring Spring,PA,16673,USA,339 Frederick Road,Roaring Spring,PA,16673,USA
,Maschhoff Gothenburg,2010558,1/9/2026 12:00 PM,,Feed,,Office (308-325-3289);Mill (308-529-1806),7475 State Rt. 127,Carlyle,IL,62231,USA,315 West 4th Street,Gothenburg,NE,69138,USA
,Kuntz By-Products,2039439,11/26/2025 12:00 PM,,Feed,,,25055 E 3100 N Road,Chenoah,IL,61726,USA,31258 N 2550 East Road,Chenoah,IL,61726,USA
,Helena Chemical Port Lavaca,2041964,11/14/2025 12:00 PM,,Agronomy-Dry,,,,,,,,208 Montier,Port Lavaca,TX,77979,USA
,Tier One Nutritionals,2042458,3/2/2026 12:00 PM,,Feed,,Office (608-222-0608),1040 Lumberman's Trail,Madison,WI,53716,USA,1040 Lumberman's Trail,Madison,WI,53716,USA
,Old Elms Springs Colony,2209418,,,Feed,,Office (605-239-4349),42021 - 268th Street,Parkston,SD,57366,USA,42021 - 268th Street,Parkston,SD,57366,USA
,Granite Ridge Farm LLC,2210049,6/26/2026 12:00 PM,,Feed,,Office (330-600-2295);Office (330-698-1077),,,,,,2532 S Apple Creek Rd,Apple Creek,OH,44606,USA
,Lowe's Pellet And Grain,2210099,,,Feed,,,,,,,,2372 W. State Rd. 46,Greensburg,IN,47240,USA
,Harvey's Fertilizer And Gas,2210417,,,Agronomy-Dry,,Office (910-892-2025),,,,,,2755 Union Grove Church Rd,Dunn,NC,28335,USA
,Feed Partners,2211315,,,Feed,,,,,,,,308 Railroad Street,Larrabee,IA,51029,USA
,Emerald Spring Dairy,2251266,1/20/2026 12:00 PM,,Feed,,Office (507-534-3221),10229 County Road 41,Plainview,Minnesota,55964,USA,10229 County Road 41,Plainview,Minnesota,55964,USA
,Broekfarms Inc.,2374944,4/8/2026 12:00 PM,,Feed,,Office (519-670-3144),11583 Springer Hill Road,Aylmer,ON,N5H 2R3,Canada,11583 Springer Hill Road,Aylmer,ON,N5H 2R3,Canada
,Philipsen Farms,2472802,,,Feed,403-782-4419,Office (403-782-4491),,,,,,RR 5,Lacombe,AB,T4L 2N5,Canada
,Hull Cooperative Agronomy Plant,2528544,3/24/2026 12:00 PM,,Agronomy-Dry And Liquid,,,,,,,,1206 Railroad Street,Hull,IA,51239,USA
,Fotheringham Agri LTD NEW MILL,2569517,2/11/2026 12:00 PM,,Feed,,,9760 Perth Road 146,Palmerston,ON,N0G 2P0,Canada,9760 Perth Road 146,Palmerston,ON,N0G 2P0,Canada
,Growmark Lumberton,2645783,5/9/2026 12:00 PM,,Agronomy-Dry,,,,,,,,725 S Roberts Ave,Lumberton,NC,28358,USA
,Simplot Lennon,2799922,7/21/2025 12:00 PM,,Agronomy-Dry And Liquid,,Mobile (986-200-5915),1099 W Front Street,Boise,ID,83702,USA,11941 E Corunna Road,Lennon,MI,48449,USA
,Cal Maine Foods Red River ,2839551,6/1/2026 12:00 PM,,Feed,,Office (903-741-4250),,,,,,"1400 Josef Hausler N Memorial Way",Bogata,TX,75417,USA
,Nutrien Ag Solutions Sauk Centre,2839720,4/28/2026 12:00 PM,,Agronomy-Dry,,,801 Beltline Road,Sauk Centre,MN,56378,USA,801 Beltline Road,Sauk Centre,MN,56378,USA
,Hog Slat North,2846770,,,Feed,,,,,,,,1972 N Meridian Road,Camden,IN,46917,USA
,Bon Homme Colony Elie MB,2847188,10/18/2025 12:00 PM,,Feed,,,PO Box 10,Elie,MB,R0H 0H0,Canada,,,,,
,Superior Milling,2856357,,,Feed,,,,,,,,6640 West US Hwy 136,Waynetown,IN,47990,USA
,Timac Agro Americus,2874297,8/18/2025 12:00 PM,,Agronomy-Dry,,,"Rainbow Fertilizer LLC1011 Oak Ave",Americus,GA,31709,USA,"Rainbow Fertilizer LLC1011 Oak Ave",Americus,GA,31709,USA
,Nutrius Kingsburg,2878587,8/23/2025 12:00 PM,,Feed,,Office (559-367-3805),39494 Clarkson Drive,Kingsburg,CA,93631,USA,39494 Clarkson Drive,Kingsburg,CA,93631,USA
,Pigs for Yosemite Foods Snowflake (AMVC),2878589,9/27/2025 12:00 PM,,Feed,,Office (866-563-2683),1885 Highway 71,Audubon,IA,50025,USA,6705 Feed Mill Road,Snowflake,AZ,85937,USA
,Camrose Colony South Dakota,2883254,,,Feed,,Office (605-450-0039),16950 400th Ave,Frankfort,SD,57440,USA,16950 400th Ave,Frankfort,SD,57440,USA
,Sinamco Trading LLC,1989588,,,Feed,,Office (308-247-2601);Mill (308-247-2174),920 2nd Ave South Suite 825,Minneapolis,MN,55402,USA,107 Railroad St,Morrill,NE,69358,USA
,Mott Equity Exchange,2975046,,,Agronomy-Dry,,Office (701-824-3296),515 ND-8,Mott,ND,58646,USA,515 ND-8,Mott,ND,58646,USA
,Newberry Feed,2883447,,,Feed,,,,,,,,2431 Vincent Street,Newberry,SC,29108,USA
,Birdsall Grain and Seed,2961648,,,Agronomy-Dry,,,,Berthold,ND,,USA,,Berthold,ND,,USA
,FCI Raeford CLOSED,2836768,,,Agronomy-Dry,,,,,,,,,,,,
,Henry Spencers,2277377,,,Agronomy-Dry,,,,,,,,,,,,
,Scoular Company,2891201,,,Feed,,Office (402-449-1484),13660 California Street,Omaha,NE,68154,USA,13660 California Street,Omaha,NE,68154,USA
,Latremore Farms,2970416,,,Feed,,,,,,,,175 McBride Road,Chazy,NY,12921,USA
,Davies Imperial,2891514,,,Feed,,,1275 State Street,Hammond,IN,46320,USA,1275 State Street,Hammond,IN,46320,USA
,Cabka,2892139,,,Feed,,Office (636-485-1837),123 Byassee Drive,Hazelwood,MO,63042,USA,123 Byassee Drive,Hazelwood,MO,63042,USA
,Eatonia Colony,2008259,12/1/2025 12:00 PM,,Feed,306-967-2611,Mill (306-460-9703);Office (306-967-2978),Box 160,Eatonia,SK,S0L 0Y0,Canada,Box 160,Eatonia,SK,S0L 0Y0,Canada
,Springfield Colony,2249491,9/18/2025 12:00 PM,,Feed,,Office (306-460-8448),,,,,,"62078 Colony RoadBox 2650",Anola,MB,R5L 0A7,Canada
,Midway Coop,2927785,8/23/2025 12:00 PM,,Agronomy-Dry,,Office (785-346-5451),210 Harrison Street,Osborne,KS,67473,USA,210 Harrison Street,Osborne,KS,67473,USA
,Sample Dultmeier Customer,2892998,,,Agronomy-Liquid,,,,,,,,,,,,
,Farmers Cooperative Firth,2755224,1/11/2026 12:00 PM,,Feed,,,,,,,,305 Main Street,Firth,NE,68358,USA
,Back Forty Brewing Company,2895102,,,Brewery,,,,,,,,200 N 6th Street,Huntsville ,AL,35801,USA
,Orchid Isle Brewing,2895195,,,Brewery,,,,,,,,2745 St. Lucie Ave,Vero Beach,FL,32960,USA
,Pettisville Grain West Unity,2966844,2/15/2026 12:00 PM,,Grain,,,18251 County Road DE,Pettisville,OH,43553,USA,1101 Oak Street,West Unity,OH,43570,USA
,Oleet Processing,2958333,,,Feed,,,,,,,,"Pinkie Road & Sherwood DrivePO Box 26011",Regina,SK,S4R 8R7,Canada
,AWSW Solutions,2897803,,,Other,,,,,,,,400 Carson Drive,Bear,DE,19701,USA
,Sporting Valley Feed ,2899380,,,Feed,,,,,,,,1440 Division Highway,Ephrata,PA,17522,USA
,Innovation Station,2192704,,,Brewery,,,,,,,,,,,,
,Allen Klassen,1989407,,,Feed,,Office (403-345-4259);Mobile (403-894-1645),Box 126,Coaldale,AB,T1M 1M2,Canada,Box 126,Coaldale,AB,T1M 1M2,Canada
,Valley Feeds Mill,2968186,,,Feed,,Office (785-854-7867),1304 W Fox Road,Long Island,KS,67647,USA,1304 W Fox Road,Long Island,KS,67647,USA
,Cal Maine Foods Boling  ,2957454,,,Feed,,Mill (979-657-2172),"CSE, Inc24383 US 59",Campo,TX,77437,USA,4429 FM442,Boling-Lago,TX,77420,USA
,Simplot Othello,2970635,,,Agronomy-Dry,,,,,,,,531 Booker Road,Othello,WA,99344,USA
,Triple P Farms,1992611,,,Feed,,Office (204-346-3535),Box 26 RR1 Group 3,Steinbach,MB,R5G 1L9,Canada,Box 26 RR1 Group 3,Steinbach,MB,R5G 1L9,Canada
,PFS Blends,2912888,,,Feed,,,,,,,,136 N Greenway,Holt Summit,MO,65043,USA
,Bormann Farms,1989034,4/7/2026 12:00 PM,,Feed,,Mobile (515-341-1485),1106 90th Ave,Bode,IA,50519,USA,1106 90th Ave,Bode,IA,50519,USA
,Brenneman Pork ,1989036,9/30/2025 12:00 PM,,Feed,319-656-3938,Mill (319-656-3934);Office (319-656-3924),2012 155th St,Washington,IA,52353,USA,2012 155th St,Washington,IA,52353,USA
,Checkerspot Brewing,2916783,,,Brewery,,Office (410-519-5527),,,,,,1421 Ridgely Street,Baltimore ,MD,21230,USA
,Brock Stock Farm LTD,1989045,,,Feed,,Mill (306-379-2177);Office (306-934-2727),101-1132 College Drive,Saskatoon,SK,S7N 0W2,Canada,101-1132 College Drive,Saskatoon,SK,S7N 0W2,Canada
,EcoMaterial Technologies,2975702,,,Other,,,,,,,,,,,,
,Dakota Blenders,2971393,,,Feed,,,,,,,,41659 256th Street,Mitchell,SD,57301,USA
,Pork Chop Hill Farms ,2975448,,,Feed,,,9300 W Reading Road,Reading,MI,49274,USA,9300 W Reading Road,Reading,MI,49274,USA
,Central Region Cooperative Cobden,1989090,6/15/2026 12:00 PM,,Feed,,Office (507-794-3031);Mill (507-794-3031),549 Center St - PO Box 429,Sleepy Eye,MN,56085,USA,549 Center St - PO Box 429,Sleepy Eye,MN,56085,USA
,Central Valley Ag Elgin (CVA),1989093,9/8/2025 12:00 PM,,Feed,402-843-2186,Mill (402-843-2416);Office (402-843-2224),PO Box 159,Elgin,NE,68636-0159,USA,102 Maple Street,Elgin,NE,68636-0159,USA
,Central Valley Ag Scribner (CVA),1989096,1/29/2026 12:00 PM,,Feed,402-664-3656,Office (402-664-2256),301 Railroad Street,Scribner,NE,68057,USA,301 Railroad Street,Scribner,NE,68057,USA
,Colorado Egg LLC (Hickman Family Farms),1989154,3/16/2026 12:00 PM,,Feed,,Mill (970-858-2317);Office (970-858-7556),1133 21 Rd,Fruita,CO,81521,USA,1133 21 Rd,Fruita,CO,81521,USA
,Nutrition Services Dearwester (Grain),1989208,11/5/2025 12:00 PM,,Grain,217-357-2195,Mill (217-357-2192);Office (217-357-2192),PO Box 97,Golden,IL,62339,USA,2411 Nightingale Rd,Carthage,IL,62321,USA
,Triple J Farms Sonora,1989224,4/4/2026 12:00 PM,,Feed,209-536-0947,Office (209-532-4950),PO Box 4314,Sonora,CA,95370-8772,USA,10800 La Grange Road,Jamestown,CA,95327,USA
,Osler Farms LTD,1989253,,,Feed,,Office (306-281-7547),Range Road 3043,Osler,SK,S0K 3A0,Canada,Range Road 3043,Osler,SK,S0K 3A0,Canada
,Bowman And Landes Turkeys Inc. ,1989254,6/25/2026 12:00 PM,,Feed,937-845-9998,Office (937-845-9466),"6490 East Ross RoadNew Carlisle",New Carlisle,OH,45344,USA,"6490 East Ross RoadNew Carlisle",New Carlisle,OH,45344,USA
,Tom Scheider,1989256,,,Feed,,Mill (815-238-8683 (Tom cell));Office (815-868-2449),4778 W Empire Road,Freeport,IL,61032,USA,4778 W Empire Road,Freeport,IL,61032,USA
,Faberdale Dairies LTD,1989257,3/28/2026 12:00 PM,,Feed,403-784-2911,Mill (306-750-3611);Office (403-784-2779),"RR 1126 E Canal Garden",Tees,AB,T0C 2N0,Canada,"RR 1126 E Canal Garden",Tees,AB,T0C 2N0,Canada
,Farmers Pride Cooperative Neligh,1989282,,,Feed,,Office (402-887-5463);Office (402-887-5464),PO Box 10,Battle Creek,NE,68715,USA,1001 East Hwy 275,Neligh,NE,68756,USA
,Farmward United Mills,1989284,2/3/2026 12:00 PM,,Feed,507-641-2179,Office (507-249-3198);Office (507-249-4073);Office (507-249-3196);Office (507-249-3197),PO Box 278,Morgan,MN,56266,USA,711 Front Street,Morgan,MN,56266,USA
,Feed Mix,1989285,9/22/2025 12:00 PM,,Feed,,Mill (701-324-2201);Office (701-324-2201),414 7th Street West,Harvey,ND,58341,USA,414 7th Street West,Harvey,ND,58341,USA
,Fehr Brothers,1989286,9/18/2025 12:00 PM,,Feed,,Office (309-467-2790);Mill (309-222-0620),1217 State Route 117,Eureka,IL,61530,USA,2939 County Road 1500 North,El Paso,IL,61738,USA
,Five Star Cattle,1989289,12/18/2025 12:00 PM,,Feed,403-782-4661,,Box 5238 STN Main,Lacombe,AB,T4L 1W9,USA,Box 5238 STN Main,Lacombe,AB,T4L 1W9,USA
,Five Star Cooperative Klemme,1989290,12/11/2025 12:00 PM,,Feed,641-587-2106,Office (641-587-2207),"1949 Linn AvenueBox 151",New Hampton,IA,50659,USA,205 North First Street,Klemme,IA,50449,USA
,Foul-Air Acres Inc.,1989296,2/1/2026 12:00 PM,,Feed,,Office (507-436-5573);Mill (507-236-5055),2067 190th Street,Truman,MN,56088,USA,2067 190th Street,Truman,MN,56088,USA
,Ainsworth Feed Processing,1989298,9/20/2025 12:00 PM,,Feed,,Office (402-382-7250);Mill (402-382-7250),300 N Main Street,Ainsworth,NE,69210,USA,"558 N Maple StAttn: Scott Fuelberth",Ainsworth,NE,69210,USA
,Gold Spring Colony,1989305,5/21/2026 12:00 PM,,Feed,,Mill (403-388-5162);Office (587-787-1890),Box 158,Warner,AB,T0K 2L0,Canada,Box 158,Warner,AB,T0K 2L0,Canada
,Grandview Farms,1989309,5/11/2026 12:00 PM,,Feed,507-428-3845,Office (507-428-3843);Mill (507-829-8910),3320 State Highway 68,Ghent,MN,56239,USA,3320 State Highway 68,Ghent,MN,56239,USA
,Grassland Colony Westport,1989314,8/18/2025 12:00 PM,,Feed,605-439-3603,Mill (605-439-3044);Office (605-439-3221);Mill (605-439-3411),11865 370th Avenue,Westport,SD,57481,USA,11865 370th Avenue,Westport,SD,57481,USA
,Ferpacific Guayaquil Ecuador,2920686,,,Agronomy-Dry,,,,,,,,,,,,
,Greenwald Elevator,1989316,8/5/2025 12:00 PM,,Feed,320-987-3628,Office (320-987-3159);Office (320-987-3623);Mill (320-293-6246),"151 1st Avenue SouthPO Box 135",Greenwald,MN,56335,USA,"151 1st Avenue SouthPO Box 135",Greenwald,MN,56335,USA
,Ham Hill Farms,1989319,6/25/2026 12:00 PM,,Feed,,Office (660-886-5442);Mill (660-886-5442),18747 Highview Avenue,Marshall,MO,65340,USA,18747 Highview Avenue,Marshall,MO,65340,USA
,H And H Feed And Grain,1989317,5/4/2026 12:00 PM,,Feed,,Office (269-760-0125);Mobile (269-598-0074);Office (269-370-5232);Office (269-649-0764),14093 Portage Road,Vicksburg,MI,49097,USA,14093 Portage Road,Vicksburg,MI,49097,USA
,Heartland Cooperative Newton,1989325,9/1/2025 12:00 PM,,Feed,641-792-0738,Office (515-344-7409);Mill (641-792-5169),3785 IA-14,Newton,IA,50208,USA,3785 IA-14,Newton,IA,50208,USA
,Trouw Nutrition - CLOSED,1989333,,,Feed,403-783-3999,Mill (505-504-2221);Office (403-783-6037),"Int. Hwy 2A and 306 Ave Site 2Box 50 RR2",Okotoks,AB,T1S 1A2,Canada,6701 44th Avenue,Ponoka,AB,T4J 1J8,Canada
,Hickman Family Farms,1989334,7/13/2025 12:00 PM,,Feed,623-872-9220,Office (623-872-2307);Office (623-386-1303);Mill (623-872-2387),6515 S. Jackrabbit Trail,Buckeye,AZ,85326,USA,32916 West Ward Road,Arlington,AZ,85322,USA
,Hidden Lake Colony (Hog Barn),1989335,1/1/2026 12:00 PM,,Feed,406-336-2695,Mill (406-336-4800);Office (406-336-4803);Office (406-336-4804);Office (406-336-4800),"100 Welsh Road ",Cut Bank,MT,59427,USA,"100 Welsh Road ",Cut Bank,MT,59427,USA
,Hidden Valley Colony LTD Austin,1989337,1/11/2026 12:00 PM,,Feed,,Office (204-637-2506),Box 69,Austin,MB,R0H 0C0,Canada,Box 69,Austin,MB,R0H 0C0,Canada
,Hilltop Colony,1989342,12/5/2025 12:00 PM,,Feed,406-736-5171,Office (406-736-5169);Mill (406-590-7965);Office (406-564-1894),909 Spring Creek Road,Stockett,MT,59480,USA,909 Spring Creek Road,Stockett,MT,59480,USA
,Hillcrest Colony,1989343,3/12/2026 12:00 PM,,Feed,,Office (605-233-0066);Mill (605-233-0251);Office (605-532-3860),1004 Hillcrest Road,Garden City,SD,57236,USA,1004 Hillcrest Road,Garden City,SD,57236,USA
,Pork Plus,1989531,,,Feed,507-847-2151,Office (507-847-4678),53310 880th Street,Jackson,MN,56143-3093,USA,53310 880th Street,Jackson,MN,56143-3093,USA
,Prairie Pork Inc. ,1989532,3/14/2026 12:00 PM,,Feed,,Office (319-646-2190);Mill (319-461-4368),1880 - 170th Street,Wellman,IA,52356,USA,1880 - 170th Street,Wellman,IA,52356,USA
,Sauder Feeds,1989574,3/14/2026 12:00 PM,,Feed,,Office (260-627-2196),14033 Grabill Road,Grabill,IN,46741,USA,14033 Grabill Road,Grabill,IN,46741,USA
,Brey's Egg Farm,1989037,10/14/2025 12:00 PM,,Feed,,Mill (845-482-3811);Office (845-482-5464),607 Swiss Hill Rd,Jeffersonville,NY,12748,USA,607 Swiss Hill Rd,Jeffersonville,NY,12748,USA
,BSC Animal Nutrition,1989046,3/5/2026 12:00 PM,,Feed,519-349-2191,Office (519-349-2190),1917 James St S RR #4,Saint Marys,ON,N4X 1C7,Canada,1917 James St S RR #4,Saint Marys,ON,N4X 1C7,Canada
,Buchheit Feed Mill,1989062,4/26/2026 12:00 PM,,Feed,573-547-1198,Office (800-622-7937);Mill (573-547-7724);Mill (573-547-4569),33 PCR 540,Perryville,MO,63775,USA,33 PCR 540,Perryville,MO,63775,USA
,Carstens Livestock Feed Mill Linden,1989081,9/12/2025 12:00 PM,,Feed,,Mill (641-757-1944);Office (641-744-2051),1229 Pecan Avenue,Bagley,IA,50026,USA,1199 Linden Road,Linden,IA,50146,USA
,Stribling Hog Farm,1989610,10/3/2025 12:00 PM,,Feed,,Office (217-476-3877);Mill (217-370-1280),30663 North Centinary Road,Ashland,IL,62612,USA,30663 North Centinary Road,Ashland,IL,62612,USA
,Central Farmers Cooperative Montrose,1989088,7/25/2025 12:00 PM,,Feed,605-348-3943,Office (605-363-5360),PO Box 357,Marion,SD,57043,USA,113 East Walker Street,Montrose,SD,57048,USA
,Chandler Feed Company Chandler,1989116,9/27/2025 12:00 PM,,Feed,,Office (507-677-2237),741 Valley Road,Chandler,MN,56122,USA,741 Valley Road,Chandler,MN,56122,USA
,Comparts Boar Store,1989157,12/1/2025 12:00 PM,,Feed,507-246-5339,Office (507-246-5179);Office (507-225-3603),45198 400th Street,Nicollet,MN,56074-4300,USA,45198 400th Street,Nicollet,MN,56074-4300,USA
,Cenex Harvest States Winner (CHS),1989167,1/1/2026 12:00 PM,,Feed,605-843-2715,Office (605-842-2711);Mill (605-842-2771),PO Box 529,Winner,SD,57580,USA,27843 317th Ave,Winner,SD,57580,USA
,Country Ribbon Inc. ,1989168,,,Feed,,Office (902-690-5482),1273 Topsail Rd,St John's,NL,A1B 3N4,Canada,1273 Topsail Rd,St John's,NL,A1B 3N4,Canada
,Nutrition Services East Mill (New Feed Mill),1989206,10/15/2025 12:00 PM,,Feed,217-357-2195,Office (217-908-1100);Mill (217-214-8999),2411 Nightingale Road,Carthage,IL,62321,USA,2411 Nightingale Rd,Carthage,IL,62321,USA
,DeYoung Hog Farm,1989217,7/3/2025 12:00 PM,,Feed,269-672-7034,Mill (269-207-9261);Office (269-672-7034),381 114th Avenue,Plainwell,MI,49080,USA,381 114th Avenue,Plainwell,MI,49080,USA
,AgState Newell South Mill ,1989221,3/14/2026 12:00 PM,,Feed,712-272-4258,Office (712-272-3396),"167 West 1st StreetPO Box 316",Newell,IA,50568,USA,2866 Troys Mills Blvd,Newell,IA,50568,USA
,Farmers Cooperative Association Lindsay,1989267,7/18/2025 12:00 PM,,Feed,402-428-2108,Mill (402-428-2309);Office (402-428-3195);Office (402-428-2305),PO Box 38,Lindsay,NE,68644-0038,USA,101 South Pine Street,Lindsay,NE,68644-0038,USA
,Glendale Colony,1989304,1/9/2026 12:00 PM,,Feed,,Office (605-460-1828);Mill (650-472-1251);Office (605-472-0772);Office (605-472-2241),17866 Glendale Drive,Frankfort,SD,57440,USA,17866 Glendale Drive,Frankfort,SD,57440,USA
