Company Description,Company Name,Customer ID,Service Agreement Expiration,Website,Industry
"","Evergreen Colony","1989255","5/1/2026 12:00 PM","","Feed"
"","Evonik Corporation","2075085","","","Feed"
"","Faberdale Dairies LTD","1989257","3/28/2026 12:00 PM","","Feed"
"","Fairfield Colony","2955072","","","Feed"
"","Fairhaven Colony","1989258","5/5/2026 12:00 PM","","Feed"
"","Fairview Colony","1989259","8/11/2025 12:00 PM","","Feed"
"","Fairville Colony","2188389","1/18/2026 12:00 PM","","Feed"
"","Falling Knife Brewing","2152095","","","Brewery"
"","Famo Feeds","2891602","","","Feed"
"","Famsun","2008203","","","Feed"
"","Far-Gaze Farms","2159065","","","Feed"
"","Farmers Cooperative Association Keota","1989280","3/3/2026 12:00 PM","","Feed"
"","Farmers Cooperative Association Lindsay","1989267","7/18/2025 12:00 PM","","Feed"
"","Farmers Cooperative Beatrice","2134743","","","Feed"
"","Farmers Cooperative Elevator Cottonwood","2010299","2/17/2027 12:00 PM","","Feed"
"","Farmers Cooperative Firth","2755224","1/11/2026 12:00 PM","","Feed"
"","Farmers Cooperative Pawnee City Shuttle","2967826","","","Grain"
"","Farmers Cooperative Ravenna","2218485","5/1/2026 12:00 PM","","Agronomy-Dry"
"","Farmers Cooperative Remsen","2209284","3/20/2026 12:00 PM","","Feed"
"","Farmers Cooperative Society Fulda - CLOSED","1989268","","","Feed"
"","Farmers Cooperative Society Ireton","1989269","","","Feed"
"","Farmers Elevator And Exchange","1989265","1/5/2026 12:00 PM","","Feed"
"","Farmers Feed And Supply","1989266","11/10/2025 12:00 PM","","Feed"
"","Farmers Pride Cooperative Battle Creek","1989281","","","Feed"
"","Farmers Pride Cooperative Corporate","2958643","","","Feed"
"","Farmers Pride Cooperative Neligh","1989282","","","Feed"
"","Farmers Pride Cooperative Newman Grove","1989283","","","Feed"
"","Farmers Union Coop Ossian","2835836","","","Feed"
"","Farmers Union Cooperative Manchester","2171205","6/22/2026 12:00 PM","","Feed"
"","Farmers Union Oil Circle ","2734057","1/27/2026 12:00 PM","","Agronomy-Dry"
"","Farmers Union Oil Corporate","2958642","","","Agronomy-Dry"
"","Farmers Union Oil Terry","2924002","2/28/2026 12:00 PM","https://www.fuoilcoop.com/","Agronomy-Dry"
"","Farmers Win Cooperative","2277680","","","Feed"
"","Farmward United Mills","1989284","2/3/2026 12:00 PM","","Feed"
"","FCI Parkton","2002921","3/9/2026 12:00 PM","","Agronomy-Dry"
"","FCI Raeford CLOSED","2836768","","","Agronomy-Dry"
"","Feed Commodities International","2324793","2/12/2026 12:00 PM","","Feed"
"","Feed Mix","1989285","9/22/2025 12:00 PM","","Feed"
"","Feed Partners","2211315","","","Feed"
"","Fehr Brothers","1989286","9/18/2025 12:00 PM","","Feed"
"","Ferpacific Guayaquil Ecuador","2920686","","","Agronomy-Dry"
"","Fersan","2955484","","","Agronomy-Dry"
"","Fertisa Ecuador","2750494","8/15/2025 12:00 PM","","Agronomy-Dry"
"","First Cooperative Association **MILL CLOSED**","1989287","","","Feed"
"","Five Star Cattle","1989289","12/18/2025 12:00 PM","","Feed"
"","Five Star Cooperative Corporate","2958639","","","Feed"
"","Five Star Cooperative Klemme","1989290","12/11/2025 12:00 PM","","Feed"
"","Five Star Cooperative New Hampton ","1989291","2/5/2026 12:00 PM","","Feed"
"","Five Star Cooperative New Hampton - OLD MILL **CLOSED**","2373887","","","Feed"
"","Flagler Coop","2476911","8/9/2025 12:00 PM","","Feed"
"","Fluit Farms","2965825","","","Feed"
"","FM Ingredients","2495894","9/1/2025 12:00 PM","","Feed"
"","Foam Brewers","1989292","","","Brewery"
"","Fore River Brewing","2178483","","","Brewery"
"","Forest River Colony","1989293","7/24/2026 12:00 PM","","Feed"
"","Form-A-Feed Inc. ","1989294","","","Feed"
"","Fosston Tri Coop","2754277","9/21/2025 12:00 PM","","Agronomy-Dry"
"","Foster Farms ","2966786","","","Feed"
"","Fotheringham Agri LTD NEW MILL","2569517","2/11/2026 12:00 PM","","Feed"
"","Fotheringham Agri LTD OLD MILL","1989295","","","Feed"
"","Foul-Air Acres Inc.","1989296","2/1/2026 12:00 PM","","Feed"
"","Frank Theis Farms","2010351","","","Feed"
"","Franklin Feed And Supply Chambersburg","2840030","3/23/2026 12:00 PM","","Feed"
"","Franklin Feed And Supply Corporate","2958638","","","Feed"
"","Franklin Feed And Supply Letterkenny","2188242","4/17/2026 12:00 PM","","Feed"
"","Freedom Supply","2610097","","","Feed"
"","Fultz Farms Inc. ","1989297","5/16/2026 12:00 PM","","Feed"
"","Gaico","2863850","","","Agronomy-Dry"
"Gary Poppins is a Food Production company located in 1739 Sherman Ave, Evanston, Illinois, United States.","Gary Poppins Snacks","2924012","","https://garypoppins.com/","Other"
"","Gary Rouse","1989299","","","Feed"
"","Gateway FS","2960256","","","Agronomy-Dry"
"","Gavilon Peru S.A.","2647582","","","Agronomy-Dry"
"","Gemstone Grain And Feed","1989163","7/27/2025 12:00 PM","","Feed"
"","Genesis Fertilizers","2530416","10/1/2025 12:00 PM","","Agronomy-Dry"
"","Gengler Feed Service Calumet","2963587","","","Feed"
"","Gengler Feed Service Corporate","2963588","","","Feed"
"","Gengler Feed Service Sutherland","2978565","","","Feed"
"","Gengler Feed Services Remsen","2104621","1/12/2026 12:00 PM","","Feed"
"","Gerber And Sons","2923746","5/9/2026 12:00 PM","","Feed"
"","Ghostfish Brewing","2496033","","","Brewery"
"","Glacial Plains De Graff","2897215","10/1/2025 12:00 PM","","Feed"
"","Glendale Colony","1989304","1/9/2026 12:00 PM","","Feed"
"","Globeius/Plastic Solutions","2847186","","","Other"
"","Goat Island Brewing","2005126","","","Brewery"
"","Gold Eagle Cooperative Eagle Grove","2160934","","","Feed"
"","Gold Eagle Cooperative Kiester","2010350","2/20/2026 12:00 PM","","Feed"
"","Gold Eagle Cooperative Leland Cattle Mill","1989263","10/3/2025 12:00 PM","","Feed"
"","Gold Eagle Cooperative Leland Hog Mill","1989264","","","Feed"
"","Gold Spring Colony","1989305","5/21/2026 12:00 PM","","Feed"
"","Golden Fertilizer Company Limited","2519993","","","Agronomy-Dry"
"","Golden Prairie Colony","2495154","5/31/2026 12:00 PM","","Feed"
"","Goran's Mill","2961477","","","Feed"
"","Gracevale Colony","1989307","6/10/2025 12:00 PM","","Feed"
"","Grand Armory Brewing Co.","2152045","","","Brewery"
"","Grandview Farms","1989309","5/11/2026 12:00 PM","","Feed"
"","Grandview Oil Mills Ltd","2959912","","","Feed"
"","Granite Mills Inc. ","1989311","7/28/2025 12:00 PM","","Feed"
"","Granite Ridge Farm LLC","2210049","6/26/2026 12:00 PM","","Feed"
"","Granja Asomante","1989310","3/23/2026 12:00 PM","","Feed"
"","Grass Ranch Colony","2008271","12/15/2025 12:00 PM","","Feed"
"","Grassland Colony Chicken Mill Great Falls","1989312","11/18/2025 12:00 PM","","Feed"
"","Grassland Colony Hog Mill Great Falls","1989313","7/12/2025 12:00 PM","","Feed"
"","Grassland Colony Westport","1989314","8/18/2025 12:00 PM","","Feed"
"","Graymont Cooperative Association","1989315","5/13/2026 12:00 PM","","Feed"
"","Great Western Products","2952422","","","Feed"
"","Green Farms","2129188","1/13/2026 12:00 PM","","Feed"
"","Green Fiber","2978667","","","Other"
"","Green Valley Poultry","2928330","","","Feed"
"","Greensburg Soy Processors","2495418","9/20/2025 12:00 PM","","Other"
"","Greenwald Elevator","1989316","8/5/2025 12:00 PM","","Feed"
"","Grimmius Cattle Company, Inc.","2249492","3/24/2026 12:00 PM","","Cattle"
"","Gro Tec","2528456","10/5/2025 12:00 PM","","Agronomy-Dry"
"","Grove River Mills","2895679","9/14/2025 12:00 PM","","Feed"
"","Growmark Cincinnati","2946278","","","Agronomy-Dry"
"","Growmark Corporate ","2827731","","","Agronomy-Dry"
"","Growmark Lumberton","2645783","5/9/2026 12:00 PM","","Agronomy-Dry"
"","Growmark Seneca","2747770","7/22/2025 12:00 PM","","Agronomy-Dry"
"","Growmark St Louis","2963596","","","Agronomy-Dry"
"","Growmark Yankton","2540712","3/23/2026 12:00 PM","","Agronomy-Dry"
"","Growth Technologies LLC","2959982","3/14/2026 12:00 PM","","Agronomy-Liquid"
"","Gruner Brothers Brewery","2053061","","","Brewery"
"","Grupo Disan","2582021","2/21/2026 12:00 PM","","Agronomy-Dry"
"","GVT Inc. ","1989300","2/24/2026 12:00 PM","","Feed"
"","H And H Feed And Grain","1989317","5/4/2026 12:00 PM","","Feed"
"","H2Old, LLC","2277356","","","Feed"
"","Haiti Broilers S.A.","1989318","","","Feed"
"","Halifax Fertilizer","2875264","3/15/2026 12:00 PM","","Agronomy-Dry"
"","Ham Hill Farms","1989319","6/25/2026 12:00 PM","","Feed"
"","Hamlin County Farmers Cooperative","1989320","4/13/2026 12:00 PM","","Agronomy-Dry"
"","Hand Hills Colony","2495938","1/22/2026 12:00 PM","","Feed"
"","Har De Bo Farms","1989321","10/23/2025 12:00 PM","","Feed"
"","Harold's Equipment","2969529","","","Other"
"Mill Manager","Hartington Feed And Chick Inc. ","1989322","10/26/2025 12:00 PM","","Feed"
"","Hartog Elevator","1989323","2/13/2026 12:00 PM","","Feed"
"","Harvey's Fertilizer And Gas","2210417","","","Agronomy-Dry"
"","Havel Pork Farms","2010352","6/21/2026 12:00 PM","","Feed"
"","Heartland Colony","1989324","4/28/2026 12:00 PM","","Feed"
"","Heartland Cooperative Corporate","2958637","","","Feed"
"","Heartland Cooperative Earlham","2734062","9/1/2025 12:00 PM","","Feed"
"","Heartland Cooperative Newton","1989325","9/1/2025 12:00 PM","","Feed"
"","Heartland Cooperative Prairie City","2154682","9/1/2025 12:00 PM","","Feed"
"","Heartland Cooperative Reinbeck","1989326","9/1/2025 12:00 PM","","Feed"
"","Heartland Cooperative Stanhope","1989327","9/1/2025 12:00 PM","","Feed"
"","Heartland Cooperative Winterset","2968195","11/6/2025 12:00 PM","","Feed"
"","Heimerl Farms Celina","2133102","","","Feed"
"","Heimerl Farms Corporate","2958636","","","Feed"
"","Heimerl Farms Johnstown","1989328","7/10/2025 12:00 PM","","Feed"
"","Heimerl Farms Wabash","1989329","8/11/2025 12:00 PM","","Feed"
"","Helena Agri Enterprises - Artesia NM","2209142","","","Agronomy-Dry"
"","Helena Agri Enterprises - Warriors Mark PA","2727079","","","Agronomy-Dry"
"","Helena Agri Enterprises Corporate","2958635","","","Agronomy-Dry And Liquid"
"","Helena Agri Enterprises Petersburg","2937409","","","Agronomy-Liquid"
"","Helena Chemical Port Lavaca","2041964","11/14/2025 12:00 PM","","Agronomy-Dry"
"","HempXtracts of Colorado","2106144","","","Other"
"","Henk Schipper","1989331","2/4/2026 12:00 PM","","Feed"
"","Henry Creek Farms","2010373","1/5/2026 12:00 PM","","Feed"
"","Henry Spencers","2277377","","","Agronomy-Dry"
"","Herickhoff Family Farms LLC","1989330","","","Feed"
"","Hi-Point Stock Farm LTD","1989332","","","Feed"
"","Hickman Family Farms","1989334","7/13/2025 12:00 PM","","Feed"
"","Hidden Lake Colony (Hog Barn)","1989335","1/1/2026 12:00 PM","","Feed"
"","Hidden Valley Colony LTD Austin","1989337","1/11/2026 12:00 PM","","Feed"
"","Hidden Valley Colony Montana","2878776","","","Feed"
"","High Field Farm","2337470","","","Feed"
"","High Ridge Pork LLC","1989338","","","Feed"
"","High River Colony","1989339","12/19/2025 12:00 PM","","Feed"
"","Hill Farms","2338126","","","Feed"
"","Hillandale Farms","1989593","5/22/2026 12:00 PM","","Feed"
"","Hillcrest Colony","1989343","3/12/2026 12:00 PM","","Feed"
"","Hillcrest Pork","2010377","2/28/2026 12:00 PM","","Feed"
"","Hilldale Colony","2581990","4/14/2026 12:00 PM","","Feed"
"","Hillridge Colony","1989340","5/7/2026 12:00 PM","","Feed"
"","Hillside Colony","1989344","3/21/2026 12:00 PM","","Feed"
"","Hillside Poultry Farm 1","1989345","2/4/2026 12:00 PM","","Feed"
"","Hillside Poultry Farm 2","1989346","2/4/2026 12:00 PM","","Feed"
"","Hilltop Colony","1989342","12/5/2025 12:00 PM","","Feed"
"","Hilltop Pork LTD","1989341","","","Feed"
"","Hintzsche Brothers - IL","2010378","","","Feed"
"also contact Chad for updates","Hitch Mills","2502673","8/19/2025 12:00 PM","","Feed"
"","HJ Baker Trawick **CLOSED**","1989348","","","Feed"
"","HK Farms","2131412","","","Feed"
"","Hoff Brothers","2010300","","","Feed"
"","Hog Haven","1989351","","","Feed"
"","Hog Inc.","1989352","1/15/2026 12:00 PM","","Feed"
"","Hog Slat North","2846770","","","Feed"
"","Holmes Agro Orangeville","2378738","8/30/2025 12:00 PM","","Agronomy-Dry"
"","Holmes Agro Stayner","2360053","3/26/2026 12:00 PM","","Agronomy-Dry"
"","Honey Creek Feeds","2969519","","","Feed"
"","Hoover Feed Service","2693349","","","Feed"
"","Hora Fairview Farms","2010385","","","Feed"
"","Hord Elevator Corporate","2958634","","","Feed"
"","Hord Feed And Grain","1980430","8/26/2025 12:00 PM","","Feed"
"","Hord Livestock","1989354","7/28/2025 12:00 PM","","Feed"
"","Horizon Resources","2839117","3/23/2026 12:00 PM","","Agronomy-Dry"
"","Hostetler Feed Mill","1989355","7/16/2025 12:00 PM","","Feed"
"","Hudson Egg Farms","2010386","5/16/2027 12:00 PM","","Feed"
"","Hufco","2664774","","","Feed"
"","Hugoson Farms","1989356","3/15/2026 12:00 PM","","Feed"
"","Hull Cooperative Agronomy Plant","2528544","3/24/2026 12:00 PM","","Agronomy-Dry And Liquid"
"","Hull Cooperative Corporate","2958633","","","Multiple"
"","Hull Cooperative Feed Mill","1989357","8/1/2025 12:00 PM","","Feed"
"","Hull Cooperative Sheldon Feed Mill","2969356","","","Feed"
"","Hull Feed And Produce Inc. ","1989358","12/11/2025 12:00 PM","","Feed"
"","Hutterville Colony Chicken Feed Mill","2609623","7/15/2025 12:00 PM","","Feed"
"","Hutterville Colony Hog Feed Mill","1989359","11/13/2025 12:00 PM","","Feed"
"","I And S Furrer Farms","1989372","8/4/2025 12:00 PM","","Feed"
"","Ihnen Family Farms","1989373","5/31/2026 12:00 PM","","Feed"
"","Indeed Brewing","2129736","","","Brewery"
"","Independence Milling","1994172","9/20/2025 12:00 PM","","Feed"
"","Independent Farmers Ag Services LLC","1989374","9/22/2025 12:00 PM","","Feed"
"","Indian Creek Feeds","2633136","9/23/2025 12:00 PM","","Feed"
"","Innovation Station","2192704","","","Brewery"
"","Inside the Five Brewing","2710224","","","Brewery"
"","Integra Farms LTD","1989375","8/1/2025 12:00 PM","","Feed"
"","Intermat LLC","2971782","","","Agronomy-Dry"
"","International Raw Materials LTD","2942382","6/19/2026 12:00 PM","","Agronomy-Dry"
"","Iowa State University","2929348","","","Feed"
"","J And H Milling Batcher #1","1989376","6/13/2026 12:00 PM","","Feed"
"","J And H Milling Batcher #2 **CLOSED**","1989377","","","Feed"
"","J.E. Meuret Grain Company Inc. Corporate","2958632","","","Feed"
"","J.E. Meuret Grain Company, Inc. Brunswick ** This Mill is CLOSED**","1989302","","","Feed"
"","J.E. Meuret Grain Company, Inc. Copenhagen, Plainview","2029357","9/12/2025 12:00 PM","","Grain"
"","J.E. Meuret Grain Company, Inc. Creighton","1989303","11/10/2025 12:00 PM","","Grain"
"","J.E. Meuret Grain Company, Inc. Pierce","2277268","","","Grain"
"","J.W. Vittetoe Pork - CLOSED","1989390","","","Feed"
"","Jack Pine Farms LLC","1992623","3/8/2026 12:00 PM","","Feed"
"","James Valley Colony Farms","2958563","3/20/2026 12:00 PM","","Grain"
"","Jay Morris Construction","2307010","","","Feed"
"","JBC Farms","2005096","9/27/2025 12:00 PM","","Feed"
"","JBS United Corporate","2958631","","","Feed"
"","JBS United Frankfort","1989382","","","Feed"
"","JBS West Brandon","1992608","","","Feed"
"","JC Bushlack, LLP","1989379","5/3/2026 12:00 PM","","Feed"
"","JD Howerton And Sons","1989384","2/24/2026 12:00 PM","","Feed"
"","Jefferson Pork","1989385","9/3/2025 12:00 PM","","Feed"
"","Jennie-O","2008240","11/30/2025 12:00 PM","","Feed"
"","Jeremiason Farms","2010387","9/17/2026 12:00 PM","","Feed"
"","Johanns Farms","1989386","2/9/2026 12:00 PM","","Feed"
"","John Preussner","2134761","","","Feed"
"","John Vehof","1992629","8/23/2025 12:00 PM","","Feed"
"","Johnny Pickles Distillery","2644738","","","Brewery"
"","Johnson Pate Pork, Inc. ","1989387","2/10/2026 12:00 PM","","Feed"
"","Jon Helvig","2010372","","","Feed"
"","Jonco Industries","2672454","","","Feed"
"","Jordan Farms","1989388","8/31/2025 12:00 PM","","Feed"
"","JRT Focus Farms","2756994","1/26/2026 12:00 PM","","Feed"
"","JTH Inc. ","1989389","10/1/2025 12:00 PM","","Feed"
"","K and L Pork","2010403","","","Feed"
"","Kanza Cooperative","2350526","4/23/2026 12:00 PM","","Agronomy-Dry"
"","Kassik Milling","1989393","8/24/2025 12:00 PM","","Feed"
"","Kaylor AgriServices - Agronomy Plant","2962380","5/22/2026 12:00 PM","","Agronomy-Dry And Liquid"
"","Kaylor AgriServices Kaylor","1989394","6/2/2026 12:00 PM","","Feed"
"","Kaylor AgriServices Parkston","1989510","6/2/2026 12:00 PM","","Feed"
"","KBQ, Inc.","2005374","9/24/2025 12:00 PM","","Feed"
"","Keenview Farms LTD","2010404","","","Feed"
"","Keesecker Agri-Business","1989395","8/27/2025 12:00 PM","","Feed"
"","Kell Farms","1989397","2/16/2026 12:00 PM","","Feed"
"","Keller Grain And Feed","1989399","","","Feed"
"","Keller Grain And Livestock","1989398","1/31/2026 12:00 PM","","Feed"
"","Kent Feeds","2080503","","","Feed"
"","Key Ingredients","1989402","","","Feed"
"","Keystone Cooperative Corporate","2948810","","","Agronomy-Dry And Liquid"
"","Keystone Cooperative Eldorado","2949444","","","Agronomy-Liquid"
"","Keystone Cooperative Fritchton","2965362","","","Agronomy-Liquid"
"","Keystone Cooperative Idaville","2949437","2/28/2026 12:00 PM","","Agronomy-Liquid"
"","Keystone Cooperative Mount Summit","2873741","10/19/2025 12:00 PM","","Agronomy-Dry"
"","Keystone Cooperative Scircleville","2937822","8/30/2025 12:00 PM","","Agronomy-Dry"
"","Keystone Cooperative Stilesville","2949432","","","Agronomy-Liquid"
"","Keystone Cooperative Union Mills","2946448","11/8/2025 12:00 PM","","Agronomy-Dry"
"","Keystone Mills Bremen","2981327","","","Agronomy-Liquid"
"","Keystone Mills Corporate","2958630","","","Feed"
"","Keystone Mills Ephrata","1989403","8/23/2025 12:00 PM","","Feed"
"","Keystone Mills Organic","2943559","1/11/2026 12:00 PM","","Feed"
"","Keystone Mills Romulus","1989404","5/23/2026 12:00 PM","","Feed"
"","Kialla Holdings","2029586","","","Feed"
"","Kills Boro Brewing Company","2629133","","","Brewery"
"","Kingdom Haven Farm Inc","2912886","1/29/2026 12:00 PM","","Feed"
"","Klaphake Feed Mill Inc. ","1989406","12/23/2025 12:00 PM","","Feed"
"","Kleinheksel Farms","2002923","","","Feed"
"","KMAX ","1989391","9/21/2025 12:00 PM","","Feed"
"","Knowledge Base (External)","2093417","","",""
"","Knowledge Base (Internal)","2043211","","",""
"","KNS - Kentucky Nutrition Services","1989400","11/16/2025 12:00 PM","","Feed"
"","Kohlnhofer Farms Inc. ","1989409","2/7/2026 12:00 PM","","Feed"
"","Korova Feeders","1989160","","","Feed"
"","Koster Farms","1989183","1/16/2026 12:00 PM","","Feed"
"","Kraak Farms","1989411","","","Feed"
"","Kregels Inc. **CLOSED**","1989412","","","Feed"
"","Kreher Family Farms Wolcott","2947537","9/26/2025 12:00 PM","","Feed"
"","Kropf Feeds","1989502","8/11/2025 12:00 PM","","Feed"
"","Kugler Oil Company","2962901","3/7/2026 12:00 PM","","Agronomy-Liquid"
"","Kuntz By-Products","2039439","11/26/2025 12:00 PM","","Feed"
"","Kuntz By-Products OLD MILL ","1989413","","","Feed"
"","Kurzweil Brothers","1989414","4/16/2026 12:00 PM","","Feed"
"","Lac Qui Parle Coop","2735311","2/3/2026 12:00 PM","","Agronomy-Dry"
"","Laidig Farms","1989418","2/3/2026 12:00 PM","","Feed"
"","Lakes Area Cooperative Menahga Elevator","2106162","11/15/2025 12:00 PM","","Feed"
"","Lakeside Feed And Poultry","1989420","7/1/2025 12:00 PM","","Feed"
"","Lakeside Organics","2277188","10/16/2025 12:00 PM","","Feed"
"","Lakeview Hutterian Brethren Inc. ","1989421","8/4/2025 12:00 PM","","Feed"
"","Land O' Lakes - Purina - Pro Pet","2010411","","","Feed"
"","Land-Grant Brewing","2509556","","","Brewery"
"","Landus Coop Mitchellville","2750496","5/1/2026 12:00 PM","","Agronomy-Dry And Liquid"
"","Lanehaven Farms","1989422","4/2/2026 12:00 PM","","Feed"
"","Latremore Farms","2970416","","","Feed"
"","Lauritsen Cattle Company","2848160","","","Cattle"
"","LD Carlson","2002922","","","Brewery"
"","Ledge Farms","2010412","","","Feed"
"","Ledger Swine Farm","1989423","","","Feed"
"","Legacy Ag","2352782","4/21/2026 12:00 PM","","Feed"
"","Legacy Coop Mirage Flats","2218533","","","Feed"
"","Legacy Coop Torrington","2354976","8/10/2025 12:00 PM","","Agronomy-Dry"
"","Lehe Farms","1989424","","","Feed"
"","Leonard Pork","1989426","8/4/2026 12:00 PM","","Feed"
"","Lester Feed And Grain","1989427","8/23/2026 12:00 PM","","Feed"
"","Lewis Farms","2277600","8/25/2025 12:00 PM","","Feed"
"","Lewis Pork Farm","1989428","9/1/2025 12:00 PM","","Feed"
"","Lily Creek Farms","1989430","7/25/2025 12:00 PM","","Feed"
"","Lincolnland Agri-Energy ","2735307","","","Other"
"","Liphatech Inc. ","1989431","6/10/2025 12:00 PM","","Other"
"","Liquid Products LLC","2662495","","","Feed"
"","Lismore Colony","1989432","6/18/2026 12:00 PM","","Feed"
"","Little Bow Colony","2002301","1/11/2026 12:00 PM","","Feed"
"","Litwiller Ridge MILL CLOSED","1989433","","","Feed"
"","Loe Farms","2188374","","","Feed"
"","Logboat Brewing Co.","2130601","","","Brewery"
"","Long And Hufford","1989434","7/15/2025 12:00 PM","","Feed"
"","Lord Hobo Brewing","2152125","","","Brewery"
"","Loring Colony","2573171","3/10/2026 12:00 PM","","Feed"
"","Lost Tavern Brewing","2618880","","","Brewery"
"","Louisiana State University","2342354","","","Feed"
"","Lowe's Pellet And Grain","2210099","","","Feed"
"","Lower Farms","1989435","","","Feed"
"","LSC Environmental Products ","2969528","","","Feed"
"","Lupulin Brewing","2026901","","","Brewery"
"","Luyks Farms","1989436","","","Feed"
"","M and M Service Company","2961645","4/18/2026 12:00 PM","","Agronomy-Liquid"
"","Macik Family Farms","2974763","","","Feed"
"","Mae-Mart Farms **CLOSED**","1989438","","","Feed"
"","Magna Manufacturing","2632781","","","Other"
"","Maize-N-Bacon Inc.","2010413","3/9/2026 12:00 PM","","Feed"
"","Majestic Milling","1989439","5/1/2026 12:00 PM","","Feed"
"","Majestic Milling Corporate","2958627","","","Feed"
"","Majestic Milling Extruder Facility","2849971","6/16/2025 12:00 PM","","Feed"
"","Maloney Cattle Company","2472801","9/10/2025 12:00 PM","","Cattle"
"","Maple River Colony","1989440","10/10/2025 12:00 PM","","Feed"
"","MapNap Farms","2010414","","","Feed"
"","Maria Stein Grain Company","1989442","9/27/2025 12:00 PM","","Grain"
"","Mark Hershey Farms","2947623","12/13/2025 12:00 PM","","Feed"
"","Marlo Macik","2841071","","","Feed"
"","Mars Horsecare Us Inc.","2943920","11/22/2025 12:00 PM","","Feed"
"","Martig Farms Inc. ","1989443","3/22/2026 12:00 PM","","Feed"
"","Martins Dairy","2816832","7/24/2025 12:00 PM","","Cattle"
"","Maschhoff Carlyle","1989444","1/9/2026 12:00 PM","","Feed"
"","Maschhoff Corporate","1989446","","","Feed"
"","Maschhoff Gothenburg","2010558","1/9/2026 12:00 PM","","Feed"
"","Maschhoff Griggsville","1989445","1/9/2026 12:00 PM","","Feed"
"","Mast Landing Brewing","2609639","","","Brewery"
"","Master Plant","2218488","","","Agronomy-Dry"
"","Matawan Grain","1989437","","","Grain"
"","Matt Richards","2350397","","","Feed"
"","Matthews Feed And Grain","2374976","","","Feed"
"","Mayafert ","2218368","","","Agronomy-Dry"
"","Mayfield Colony","1989448","1/26/2026 12:00 PM","","Feed"
"","Mayo Fertilizer","2928862","","","Agronomy-Dry"
"","McConnell Family Farms","2748850","","","Feed"
"","McEndaffer Cattle Company","2209336","","","Cattle"
"","McFleeg Feeds, Inc. ","1989450","11/26/2025 12:00 PM","","Feed"
"","McLellan Industries LTD","2005457","","","Feed"
"","MD Farm Supplies LLC","1989451","11/22/2025 12:00 PM","","Feed"
"","Meadow Lane Colony Loma MT","2257226","6/24/2025 12:00 PM","","Feed"
"","Meadow Lane Colony Rosser MB","2957462","","","Feed"
"","Melrose Feed Mill","1989452","1/26/2026 12:00 PM","","Feed"
"","Melvin J Huber","2962257","","","Feed"
"","Mercer Landmark Inc","2856770","4/28/2026 12:00 PM","","Agronomy-Dry"
"","Meyer Farms","1989029","1/14/2026 12:00 PM","","Feed"
"","MFA Aurora","2841066","8/24/2025 12:00 PM","","Feed"
"","MFA Corporate","2923089","","","Other"
"","MFA Emporia","2874312","6/30/2025 12:00 PM","","Feed"
"","MFA Gerald","2939794","5/24/2026 12:00 PM","","Feed"
"","MFA Kirksville","2619004","5/13/2026 12:00 PM","","Feed"
"","MFA Lebanon","2952410","8/29/2025 12:00 PM","","Feed"
"","MFA Macon","2968904","","","Agronomy-Dry"
"","MFA Mexico","2619013","7/21/2025 12:00 PM","","Feed"
"","MFA St. Joseph","2946279","7/22/2025 12:00 PM","","Feed"
"","Michael Foods Bloomfield","2968945","","","Feed"
"","Michael Foods Corporate","2958623","","","Feed"
"","Michael Foods Gaylord","2895126","3/14/2026 12:00 PM","","Feed"
"","Michael Foods Le Sueur","2712988","5/5/2026 12:00 PM","","Feed"
"","Michael Stamer Farms","2840451","","","Feed"
"","Mid Iowa Coop Cedar Falls","2522111","9/19/2025 12:00 PM","","Feed"
"","Mid Iowa Coop Corporate","2958620","","","Feed"
"","Mid Iowa Milling Corporate","2958619","","","Feed"
"","Mid Iowa Milling Jesup","1989242","9/19/2025 12:00 PM","","Feed"
"","Mid Iowa Milling New Mill","2004268","9/3/2025 12:00 PM","","Feed"
"","Mid Iowa Milling Old Mill","1989408","9/3/2025 12:00 PM","","Feed"
"","Mid Kansas Coop","2929298","5/9/2026 12:00 PM","","Agronomy-Dry"
"","Mid South Milling","1989350","3/1/2026 12:00 PM","","Feed"
"","Mid State Milling Buckeye","1989455","10/12/2025 12:00 PM","","Feed"
"","Mid State Milling Corporate","2958166","","","Feed"
"","Mid State Milling State Center","2029543","8/24/2025 12:00 PM","","Feed"
"","Mid-County Coop","2477044","10/22/2025 12:00 PM","","Agronomy-Dry"
"","Mid-GA Farm Services","2495899","11/19/2025 12:00 PM","","Feed"
"","Midland Colony","2748703","8/9/2025 12:00 PM","","Feed"
"","Midway Colony","1989459","10/2/2025 12:00 PM","","Feed"
"","Midway Coop","2927785","8/23/2025 12:00 PM","","Agronomy-Dry"
"","Midwest Agricultural Co. Ltd","2379909","2/3/2026 12:00 PM","","Feed"
"","Midwest Farms Burlington","1989457","3/20/2026 12:00 PM","","Feed"
"","Midwest Farms Corporate","2958164","","","Feed"
"","Midwest Farms Onalaska","1989456","","","Feed"
"","Midwest Organics","2472143","10/29/2025 12:00 PM","","Feed"
"","Midwest Organics - Conventional Feed ","2942741","4/23/2026 12:00 PM","","Feed"
"","Midwest Organics Corporate","2958163","","","Feed"
"","Midwest Poultry Services Bryan","2640454","","","Feed"
"","Midwest Poultry Services North Manchester","2970710","","","Feed"
"","Miedema Dairy Farm LLC","2160628","","","Cattle"
"","Mighty Squirrel Brewery","2108376","","","Brewery"
