Company Name,Customer ID,Address Description,City,Country,Line 1,Line 2,Line 3,State,Zip
"Cedar County Coop Corporate","2948762","","Tipton","USA","906 E 7th Street","","","IA","52772"
"Cedar County Coop Corporate","2948762","","West Branch","USA","1546 Bake Ave","","","IA","52358"
"Cedar County Coop Tipton","2249730","Shipping And Billing","Tipton","USA","906 E 7th St","","","IA","52772"
"Cedar County Coop West Branch","2187369","Shipping And Billing","West Branch","USA","1546 Baker Ave","","","IA","52358"
"Cedar Lane Ag LLC","2476783","Shipping And Billing","Moravia","USA","26 Allis Ave","","","KY","13118"
"Cedar Ridge Farms","1989084","Shipping And Billing","Red Bud","USA","5535 Cedar Ridge Lane","","","IL","62278"
"Cenex Harvest States Corporate (CHS)","1989177","Corporate","Inver Grove Heights","USA","5500 Cenex Dr","","","MN","55077"
"Cenex Harvest States Corsica (CHS)","1989262","Shipping And Billing","Corsica","USA","145 West 6th Street","","","SD","57328"
"Cenex Harvest States Corson (CHS)","1989142","Shipping And Billing","Brandon","USA","26027 482nd Ave","","","SD","57005"
"Cenex Harvest States Dickinson (CHS)","1989148","Shipping And Billing","Dickinson","USA","4855 GTA Drive","","","ND","58601"
"Cenex Harvest States Edgeley (CHS)","2277673","Shipping And Billing","Edgeley ","USA","8170 Highway 13","","","ND","58433"
"Cenex Harvest States Gettysburg (CHS)","2277676","Shipping And Billing","Gettysburg","USA","513 E Custer Street","","","SD","57442"
"Cenex Harvest States Great Falls (CHS)","1989143","Shipping And Billing","Great Falls","USA","5325 10th Avenue North","","","MT","59405"
"Cenex Harvest States Harrisburg (CHS)","2277674","Shipping And Billing","Harrisburg","USA","815 S. 2nd Street","","","OR","97446"
"Cenex Harvest States Hermiston (CHS)","2004216","Shipping And Billing","Hermiston","USA","30797 Feedville Rd","","","OR","97838"
"Cenex Harvest States Luverne (CHS)","1989147","Shipping And Billing","Luverne","USA","403 South Freeman Avenue","","","MN","56156"
"Cenex Harvest States Marshall Dairy (CHS) - Midwest Ag","2609647","Shipping","Marshall","USA","601 Ontario Road","","","MN","56258"
"Cenex Harvest States Marshall Feedlot (CHS) - Midwest Ag","2277672","Shipping And Billing","Marshall","USA","601 Ontario Road","","","MN","56258"
"Cenex Harvest States Marshall Liquid (CHS) - Midwest Ag","2800763","","Marshall","USA","601 Ontario Rd","","","MN","56258"
"Cenex Harvest States Progressive Nutrition Norfolk (CHS)","1989542","Shipping And Billing","Norfolk","USA","1500 E. Omaha Ave","","","NE","68702"
"Cenex Harvest States Shenandoah (CHS)","1989145","Shipping And Billing","Shenandoah","USA","1857 US Hwy 59","","","IA","51601"
"Cenex Harvest States South Mandan (CHS) - Midwest Ag","2957500","Shipping","South Mandan","USA","2356 Sunny Road","","","ND","58554"
"Cenex Harvest States Tillamook (CHS)","2153957","Shipping And Billing","Tillamook","USA","6200 Blimp Blvd","","","OR","97141"
"Cenex Harvest States Tracy (CHS)","1989146","Shipping And Billing","Tracy","USA","330 South Fourth Street","","","MN","56175"
"Cenex Harvest States Winner (CHS)","1989167","Shipping","Winner","USA","27843 317th Ave","","","SD","57580"
"Cenex Harvest States Winner (CHS)","1989167","Billing","Winner","USA","PO Box 529","","","SD","57580"
"Centerra Coop","2891507","Shipping And Billing","Sterling","USA","6800 Chestnut Street","","","OH","44276"
"Centra Sota Cooperative","1989085","Shipping","Albany","USA","1121 County Road 10; PO Box 780","","","MN","56307"
"Centra Sota Cooperative","1989085","Billing","Buffalo","USA","805 Hwy 55 E","","","MN","55313"
"Central Farm Service Corporate (CFS)","2948763","","Truman","USA","233 West Ciro","","","MN","56088"
"Central Farm Service Freeborn (CFS)","2010339","Billing","Truman","USA","PO Box 68","","","MN","56088"
"Central Farm Service Freeborn (CFS)","2010339","Shipping","Freeborn","USA","101 4th Ave","","","MN","56032"
"Central Farm Service Owatonna (CFS) **MILL IS CLOSED**","1989086","Shipping","Owatonna","USA","605 N Cedar Ave","","","MN","55060-2323"
"Central Farm Service Owatonna (CFS) **MILL IS CLOSED**","1989086","Billing","Truman","USA","PO Box 68","","","MN","56088"
"Central Farm Service St James","2010341","Billing","Truman ","USA","PO Box 68","","","MN","56088"
"Central Farm Service St James","2010341","Shipping","St James","USA","823 1st Avenue","","","MN","56081"
"Central Farm Service Truman (CFS)","1989087","Shipping","Truman","USA","233 West Ciro Street","","","MN","56088"
"Central Farm Service Truman (CFS)","1989087","Billing","Truman","USA","PO Box 68","233 West Ciro Street","","MN","56088"
"Central Farmers Coop Fremar","2829738","Shipping And Billing","Marion","USA","44608 273rd Street","","","SD","57043"
"Central Farmers Cooperative Montrose","1989088","Billing","Marion","USA","PO Box 357","","","SD","57043"
"Central Farmers Cooperative Montrose","1989088","Shipping","Montrose","USA","113 East Walker Street","","","SD","57048"
"Central Ontairo FS Grand Valley","2839227","Shipping","Grand Valley ","Canada","152551 Dufferin County Rd 5","","","ON","L0N 1G0"
"Central Region Coop / BCA Products","2754271","Shipping And Billing","Sleepy Eye","USA","24399 225th Ave","","","MN","56085"
"Central Region Cooperative Cobden","1989090","Shipping And Billing","Sleepy Eye","USA","549 Center St - PO Box 429","","","MN","56085"
"Central Region Cooperative Corporate","2005398","Shipping And Billing","Sleepy Eye","USA","27865 County Road 27","","","MN","56085"
"Central Region Cooperative Fairfax","2154757","Billing","Sleepy Eye","USA","PO Box 429","","","MN","56085"
"Central Region Cooperative Fairfax","2154757","Shipping","Fairfax","USA","64908 Highway 4S","","","MN","55332"
"Central Region Cooperative Gibbon","1989089","Billing","Sleepy Eye","USA","27865 Co. Rd 27","","","MN","56085"
"Central Region Cooperative Gibbon","1989089","Shipping","Gibbon","USA","40 West Park Drive","","","MN","55335"
"Central Region Cooperative Sleepy Eye Feed Mill - West","2502687","Shipping","Sleepy Eye","USA","27865 County Road 27","","","MN","56085"
"Central Region Cooperative Sleepy Eye Grain - East","2502689","Shipping","Sleepy Eye","USA","300 Oak St NE","","","MN","56085"
"Central Valley Ag Ainsworth (CVA)","1989260","Shipping And Billing","Ainsworth","USA","224 South Main Street","","","NE","69210"
"Central Valley Ag Corporate","2951141","","York","USA","PO Box 429","","","NE","68467"
"Central Valley Ag Courtland","2955301","Shipping","Courtland ","USA","240 US Hwy 36","","","KS","66939"
"Central Valley Ag Daykin Milling LLC","2005017","Shipping","Daykin","USA","56407 724th Rd ","","","NE","68338"
"Central Valley Ag Daykin Milling LLC","2005017","Billing","York","USA","2803 N Nebraska Ave","","","NE","68467"
"Central Valley Ag Duncan (CVA)","1989092","Billing","Duncan","USA","PO Box 199","","","NE","68634"
"Central Valley Ag Duncan (CVA)","1989092","Shipping","Duncan","USA","28115 158th Street","","","NE","68634"
"Central Valley Ag Elgin (CVA)","1989093","Billing","Elgin","USA","PO Box 159","","","NE","68636-0159"
"Central Valley Ag Elgin (CVA)","1989093","Shipping","Elgin","USA","102 Maple Street","","","NE","68636-0159"
"Central Valley Ag Fullerton","2618019","Billing","Fullerton","USA","PO Box 16","","","NE","68638"
"Central Valley Ag Fullerton","2618019","Shipping","Fullerton","USA","716 North McClelland Street","","","NE","68638"
"Central Valley Ag Humphrey (CVA)","1989095","Shipping","Humphrey","USA","203 Oak Street","","","NE","68642"
"Central Valley Ag Humphrey (CVA)","1989095","Billing","Humphrey","USA","PO Box 187","","","NE","68642"
"Central Valley Ag Junction Agronomy Center","2972027","Shipping","Linn","USA","1791 10th Road","","","KS","66953"
"Central Valley Ag Scribner (CVA)","1989096","Shipping And Billing","Scribner","USA","301 Railroad Street","","","NE","68057"
"Central Valley Ag Utica (CVA)","1989099","Shipping","Utica","USA","755 1st Street","","","NE","68456"
"Central Valley Ag Utica (CVA)","1989099","Billing","York","USA","PO Box 429","","","NE","68467"
"Central Valley Ag Wakefield (CVA)","1989100","Shipping And Billing","Wakefield","USA","PO Box 148","","","NE","68784"
"Central Valley Ag York","2937145","Shipping","York","USA","2803 N Nebraska Ave","","","NE","68467"
"Central Valley Eggs Corcoran ","2878590","Shipping","Corcoran","USA","10990 Angiola Avenue","","","CA","93212"
"Century Nutrition Inc","2040728","Shipping","Ida Grove","USA","201 Jacobs Ave","","","IA","51445"
"Cenzone Tech, Inc.","1989108","Billing","San Marcos","USA","2110 Lower Chaparral Drive","","","CA","92069"
"Cenzone Tech, Inc.","1989108","Shipping","San Marcos","USA","2943 Norman Strasse Rd","","","CA","92069"
"Chandler Coop Lake Wilson","2799903","Shipping And Billing","Lake Wilson","USA","907 MN 91","","","MN","56151"
"Chandler Feed  Company Hardwick","2123386","Shipping","Hardwick","USA","107 West First Street","","","MN","56134"
"Chandler Feed Company Chandler","1989116","Shipping And Billing","Chandler","USA","741 Valley Road","","","MN","56122"
"Chandler Feed Company Corporate","2042004","Billing","Chandler","USA","741 Valley Road","","","MN","56122"
"Chandler Feed Company Edgerton","2104887","Shipping","Edgerton","USA","130 Klindt Street","","","MN","56128"
"Chandler Feed Company Leota","2042002","Billing","Chandler","USA","741 Valley Road","","","MN","56122"
"Chandler Feed Company Leota","2042002","Shipping","Leota","USA","10899 Birkett Ave","","","MN","56153"
"Chandler Feed Company Pipestone","2925664","Shipping","Pipestone","USA","113 8th Ave NE","","","MN",""
"Chandler Feed Company Woodstock","2104888","Shipping","Woodstock","USA","530 3rd Ave N","","","MN","56186"
"Chandler Feed Company Woodstock","2104888","Billing","Chandler","USA","741 Valley Road","","","MN","56122"
"Chaseburg Farmers Coop","2641161","Shipping And Billing","Chaseburg","USA","113 Cactus Drive","","","WI","54621"
"Checkerspot Brewing","2916783","Shipping","Baltimore ","USA","1421 Ridgely Street","","","MD","21230"
"Cheyenne Ranch (AMVC)","1989117","Billing","Audubon","USA","1885 Highway 71","","","IA ","50025"
"Cheyenne Ranch (AMVC)","1989117","Shipping","Milesville","USA","20267 210th Ave","","","SD","57553"
"Chinn Feed","1989118","Shipping","Clarence","USA","1058 Hwy 36","","","MO","63437"
"Chinn Feed","1989118","Billing","Clarence","USA","3937 Hwy 151","","","MO","63437"
"Chinook Feeders","2010344","Shipping And Billing","Nanton","Canada","Box 343","","","AB","T0L 1R0"
"Chipman Farms","1989119","Shipping And Billing","Harlan","USA","844 Road M16","","","IA","51537"
"Christensen Family Farms **MILL CLOSED**","1989141","Shipping And Billing","Pierre","USA","29049 201st Street","","","SD","57501"
"CHS Circle (Cenex Harvest States)","2958109","Shipping And Billing","Circle","USA","1105 A Avenue","","","MT","59215"
"Cisco Seeds","2354954","Billing","Indianapolis","USA","602 N Shortridge Road","","","IN","46219"
"City of Goldsboro NC","2179855","Shipping","Goldsboro","USA","200 North Center St","","","NC","27530"
"City Side Farms LTD","2645973","Shipping And Billing","Reedsburg","USA","S2777A State Road 23","","","WI","53959"
"Claremont Colony","1989149","Shipping And Billing","Castlewood","USA","46271 184th St","","","SD","57223-5322"
"Clearfield Colony","1989150","Shipping And Billing","Delmont","USA","40248  293rd St","","","SD","57330"
"Clover Hill Dairy","2912875","Shipping","Campbellsport","USA","W4306 Cloverland Drive","","","WI","53010"
"Coastal AgroBusiness Clinton ","2923100","Shipping","Clinton","USA","1104 US Hwy 421","","","NC","28328"
"Coastal AgroBusiness Corporate","2948829","","Greenville","USA","112 Staton Road","","","NC","27834"
"Coastal AgroBusiness Dillon ","2323651","Shipping","South Dillon","USA","1675 Old Latta Highway","","","SC","29536"
"Coastal AgroBusiness Kinston ","2656864","Shipping","Kinston","USA","3102 NC-11 North","","","NC","28501"
"Coastal AgroBusiness Pantego ","2928863","Shipping","Pantego","USA","510 Swindell Road","","","NC","27860"
"Cochecton Mills","1989151","Shipping And Billing","Cochecton","USA","30 Depot Road","","","NY","12726 "
"Codesa Colony","2973847","Shipping And Billing","Eaglesham","Canada","PO Box 300","","","AB","T0H 1H0"
"Coker Feed Mill","2940603","Shipping And Billing","Goldsboro","USA","1439 Hood Swamp Road","","","NC","27534"
"Coleridge Grain And Feed LLC","1989153","Shipping","Coleridge","USA","101 East Cedar Street","","","NE","68727"
"Coleridge Grain And Feed LLC","1989153","Billing","Coleridge","USA","PO Box 126","","","NE","68727"
"Colorado Egg Corporate","2951160","","","","","","","",""
"Colorado Egg LLC (Hickman Family Farms)","1989154","Shipping And Billing","Fruita","USA","1133 21 Rd","","","CO","81521"
"Commodity Blenders Corporate","2951161","","","","","","","",""
"Commodity Blenders Jonesville","2327978","Billing","West Salem","USA","10510 Myers Rd","","","OH","44287"
"Commodity Blenders Jonesville","2327978","Shipping","Jonesville","USA","3611 W Chicago Rd","","","MI","49250"
"Commodity Blenders Warren","2472166","Shipping","Warren","USA","10643 South Hartford City Road","","","IN","46792"
"Commodity Blenders West Salem","1989156","Shipping And Billing","West Salem","USA","10510 Myers Road","","","OH ","44287-9043"
"Comparts Boar Store","1989157","Shipping And Billing","Nicollet","USA","45198 400th Street","","","MN","56074-4300"
"Concept Agri Tek","2847944","Shipping","Charleston","USA","1300 Plant Road","","","MO","63834"
"Concord Colony","2665451","Shipping ","Stony Mountain","Canada","74065 Blackdale Rd","",""," MB","R0C 3A0"
"Concord Colony","2665451","Billing","Stony Mountain","Canada","Box 940","","","MB","R0C 3A0"
"Cooper Farms Fort Recovery","2970496","Shipping","Fort Recovery","USA","3310 State Route 49N","","","OH","45846"
"Cooper Farms Paulding","2187443","Billing","Oakwood","USA","PO Box 547","","","OH","45873"
"Cooper Farms Paulding","2187443","Shipping","Paulding","USA","325 West Caroline","","","OH","45879"
"Cooperative Farmers Elevator Agronomy Center Larchwood","2965856","Shipping And Billing","Larchwood","USA","755 Broadway Street","","","IA","51241"
"Cooperative Farmers Elevator Corporate","2951162","","","","","","","",""
"Cooperative Farmers Elevator George ** Mill CLOSED **","1989110","Shipping","George","USA","201 South Main Street","","","IA","51237"
"Cooperative Farmers Elevator George ** Mill CLOSED **","1989110","Billing","Ocheyedan","USA","920 Main St, PO Box 69","","","IA","51354"
"Cooperative Farmers Elevator Hartley","1989111","Shipping","Hartley","USA","333 South Central Ave","","","IA","51346"
"Cooperative Farmers Elevator Hartley","1989111","Billing","Ocheyedan","USA","PO Box 69","","","IA","51354"
"Cooperative Farmers Elevator Hawarden ","2847542","Billing","Ocheyden","USA","920 Main Street","PO Box 69","","IA","51354"
"Cooperative Farmers Elevator Hawarden ","2847542","Shipping","Hawarden","USA","902 7th Street","","","IA","51023"
"Cooperative Farmers Elevator Ocheyedan","1989113","Shipping","Ocheyedan","USA","828 Main St","","","IA ","51354"
"Cooperative Farmers Elevator Ocheyedan","1989113","Billing","Ocheyedan","USA","920 Main St, PO Box 69","","","IA","51354"
"Cooperative Farmers Elevator Rock Valley","1989115","Shipping","Rock Valley","USA","1508 14th Street","","","IA","51247"
"Cooperative Farmers Elevator Rock Valley","1989115","Billing","Ocheyedan","USA","920 Main St, PO Box 69","","","IA","51354"
"Corn LP","2711283","Shipping","Goldfield","USA","1303 Highway 3 East","","","IA","50542"
"Cornerstone Ag Solutions, LLC","1989161","Shipping","Bluffton","USA","500 South Indiana Street","","","IN","46714"
"Cornerstone Ag Solutions, LLC","1989161","Billing","Bluffton","USA","124 Oak Forest Drive","","","IN","46714"
"Cornerstone Organic Feeds, LLC","2957576","Shipping And Billing","Kutztown","USA","509 Long Lane","","","PA","19530"
"Cottom And Sons","2188251","Shipping","Dillon","USA","1570 Trout Creek Rd","","","MT ","59725"
"Couleeview Farms","2940182","Shipping","Shaughnessy","Canada","PO Box 114","","","AB","T0K 2A0"
"Country Partners Coop Bartlett","2966888","Shipping","Bartlett","USA","83167 Hwy 281","","","NE","68622"
"Country Partners Coop North Loup","2928871","Shipping","North Loup","USA","608 North Rail Road","","","NE","68859"
"Country Ribbon Inc. ","1989168","Shipping And Billing","St John's","Canada","1273 Topsail Rd","","","NL","A1B 3N4"
"Country Visions Cooperative","2971686","Shipping","Valders","USA","2513 Marken Road","","","WI","54245"
"Countryside Feed LLC","1989159","Billing","Hillsboro","USA","101 Santa Fe Street","","","KS","67063"
"Countryside Feed LLC","1989159","Shipping","Seneca","USA","1972 KS-187","","","KS","66538"
"County Line Livestock LLC","1989164","Billing","La Porte City","USA","9607 Jubilee Road","","","IA","50651"
"County Line Livestock LLC","1989164","Shipping","Brandon","USA","3110 Black Hawk Buchanan Ave","","","IA","52210"
"Cox Brothers Farms","2211241","Shipping And Billing","Monroe","USA","6409 Rape Road","","","NC","28112"
"CP Feeds","2041968","Shipping","Wrightstown","USA","361 County Rd U","","","WI","54180"
"Creighton Brothers LLC","2965752","Shipping And Billing","Etna Green","USA","8546 W Old Rd 30","","","IN","46524"
"Crescent Feed","2839617","Shipping And Billing","Springfield","USA","1022 W Phelps Street","","","MO","68502"
"Crystal Valley Coop Corporate","2951163","","","","","","","",""
"Crystal Valley Jackson CLOSED","1989169","Shipping","Jackson","USA","127 City Road 23","","","MN","56143"
"Crystal Valley Jackson CLOSED","1989169","Billing","Lake Crystal","USA","721 W Humphrey, PO Box 210","","","MN","56055"
"Crystal Valley Janesville - CLOSED","1989172","Shipping And Billing","Janesville","USA","7800 Old US Hwy 14","","","MN","56048"
"Crystal Valley La Salle - CLOSED","1989171","Shipping And Billing","La Salle","USA","111 South Broadway","","","MN","56056"
"Crystal Valley La Salle - CLOSED","1989171","Shipping And Billing","LaSalle","USA","PO Box 8","111 S Broadway","","MN","56056"
"Crystal Valley Trimont","2662465","Shipping","Trimont","USA","340 Main Street W","","","MN","56176"
"Crystal Valley Vernon Center","1989170","Billing","Mankato","USA","1911 Excel Drive","","","MN","56001"
"Crystal Valley Vernon Center","1989170","Shipping","Vernon Center","USA","303 Railroad Street","","","MN","56090"
"CTS Liquid Feed","2754278","Shipping And Billing","McCook","USA","1 Cappel Drive","","","NE","69001"
"Dail Farms Inc. ","1989180","Shipping And Billing","Erie","USA","8571 Albany Road","","","IL","61250"
"Dakota Blenders","2971393","Shipping","Mitchell","USA","41659 256th Street","","","SD","57301"
"Dakotaland Feeds","1989181","Shipping And Billing","Huron","USA","674 W Park Ave/ PO Box 157","","","SD","57350"
"Dan Carlisle","1989077","Shipping And Billing","Carthage","USA","2041 North Co. Rd. 1800","","","IL","62321"
"DaveCo Farms","1989184","Shipping And Billing","Madison","USA","5757 N. 800 West","","","IN","47250"
"DaveCo Farms","1989184","Billing","Deputy","USA","13649 West State Road 256","","","IN","47230"
"Davies Imperial","2891514","Shipping And Billing","Hammond","USA","1275 State Street","","","IN","46320"
"Daybreak Foods Corporate","2951169","","","","","","","",""
"Daybreak Foods Estherville","1989185","Billing","Lake Mills","USA","PO Box 800","","","WI","53551"
"Daybreak Foods Estherville","1989185","Shipping","Estherville","USA","1959 Hwy 4 S","","","IA","51334"
"Daybreak Foods Graettinger","1989186","Shipping And Billing","Graettinger","USA","4768 280th Street","","","IA","51342"
"Daybreak Foods Grant Park","1989410","Shipping","Grant Park ","USA","9998 N 16000 E Road","","","IL","60940"
"Daybreak Foods Grant Park","1989410","Billing","Lake Mills","USA","533 E Tyranena Park Rd","","","WI","53551"
"Daybreak Foods Lake Mills","2054434","Billing","Lake Mills","USA","W7299 County Road A","","","WI","53551"
"Daybreak Foods Lake Mills","2054434","Shipping ","Lake Mills","USA","N5505 Crossman Road","","","WI","53551"
"De Groot","2354897","Shipping","Hanford","USA","3012 Grangeville Blvd","","","CA","93230"
"DeBruyn Farms","1989209","Shipping And Billing","Salford","Canada","363870 McBeth Road","","","ON","NOJ 1WO"
"Deerfield Colony","1989210","Shipping And Billing","Magrath","Canada","Box 67","","","AB","T0K 1J0"
"Delta Colony","1989215","Shipping And Billing","Austin","Canada","RR #1","","","MB","R0H 0C0"
"Dennis Magnussen","2581977","Shipping And Billing","Austin","USA","89529 290th Street","","","MN","55912"
"Devenish Nutrition Corporate LLC","2026822","Billing","Fairmont","USA","2320 Lake Ave","","","MN","56031"
"Devenish Nutrition Hermosillo Sonora Mexico","2359740","Billing","Hermosillo ","Mexico","Blvd. Solidaridad No 335","Edificio B, Piso 2 Local 1","Colonia Paseo del Sol","Sonora","83246"
"Devenish Nutrition Hermosillo Sonora Mexico","2359740","Shipping","Hermosillo ","Mexico","Calle de La Plata no. 162","Esq. con Av. De los Trigales","Col. Parque Industrial","Sonora","83299"
"Devenish Nutrition LLC Gentry","2026823","Shipping","Gentry","USA","18790 Old Springtown Road","","","AR","72734"
"Devenish Nutrition LLC Thompson","2026824","Shipping","Thompson","USA","148 Vigortone Road","","","GA","30824"
"Devils River Whiskey","2209385","Shipping","San Antonio","USA","401 E Houston St","","","TX","78205"
"DeYoung Hog Farm","1989217","Shipping And Billing","Plainwell","USA","381 114th Avenue","","","MI","49080"
"DFS Oskaloosa","2942737","","Oskaloosa","USA","2905 S 33rd Street","","","IA","52577"
"Diamond Z Farms - CLOSED","1989223","Shipping And Billing","Brunswick","USA","52771 860th Road","Box 102A","","NE","68720"
"Dircks Farms - MILL IS CLOSED","1989226","Shipping And Billing","Clarence","USA","1380 120th Street","","","IA","52216"
"Disagro Ecuador","2756942","","Guayaquil","Ecuador","Solar 4","","","",""
"Disagro Honduras","2151972","Shipping And Billing","Sand Pedro Sula","Honduras","FERTILIZANTES DEL NORTE S.A. DE C.V.","05019995109062","LOS CASTANOS, 1-13 CALLE, 1 AVENIDA","",""
"Disagro Panama","2151970","Shipping","San Vicente de Bique","Panama","V8QC+PHC","","","",""
"Dixie Chemical","2675017","Shipping","Beulaville","USA","1060 South NC 41 & 111","","","NC","28518"
"DME Process Systems ","2204666","Shipping","Charlottetown","Canada","54 Hillstrom Ave","","","PE","C1E 2C6"
"Doon Elevator Corporate","2955772","Shipping","Doon","USA","301 Gere Ave","","","IA","51235"
"Doon Elevator Feed Mill 1","1989228","Shipping And Billing","Doon","USA","301 Gere Avenue","","","IA","51235"
"Doon Elevator Feed Mill 2","2178730","Shipping And Billing","Doon","USA","301 Gere Ave","","","IA","51235"
"Double I Farms","2010348","Shipping And Billing","Loomis","USA","RR1 Box 71","74250 H Road","","NE","68958"
"Double L Farms","2010349","Shipping And Billing","Forrest","USA","3827 North 2600 East Road","","","IL","61741"
"Doug Studer Farms **MILL IS SHUT DOWN**","1989229","Shipping And Billing","Britt","USA","828 220th Street","","","IA","50423"
"Douglas Farms","1989230","Shipping And Billing","Flatrock","USA","9596 W. Co. Rd. 350 South","","","IN","47234"
"Douglas Feed Mill","1989231","Shipping","Harrison","USA","508 Main Avenue","","","SD","57334"
"Douglas Feed Mill","1989231","Billing","Armour","USA","PO Box 178","","","SD","57313"
"Dultmeier","2841142","Shipping","Omaha","USA","13808 Industrial Road","","","NE","68137"
"Dunkerton Cooperative","1989232","Shipping And Billing","Dunkerton","USA","509 West Dunkerton St","","","IA","50626"
"Durango Brewery","1989196","Shipping And Billing","La Junta","USA","2nd & Grant","","","CO","81050"
"Duro Bag / Novolex","2954746","Shipping","Walton","USA","271 One Duro Way","","","KY","41094"
"Dutch Country Organics Middlebury","2920139","Shipping And Billing","Middlebury","USA","407 N Main Street","","","IN","46540"
"Dutch Country Organics Wolcottville","1994175","Billing","Middlebury","USA","407 N Main Street","","","IN","46540"
"Dutch Country Organics Wolcottville","1994175","Shipping ","Wolcottville","USA","109 Union Street","","","IN","46795"
"Dutt And Wagner of NC","2941982","Shipping","Andrews","USA","417 Taylors Creek Road","","","NC","28910"
"Dwight's Farm Service North Mill (DFS)","1989219","Shipping","Newell","USA","167 West 1st Street","","","IA","50568"
"Dwight's Farm Service North Mill (DFS)","1989219","Billing","Newell","USA","PO Box 3","","","IA","50568"
"Eagle Builders","2154830","Billing","Blackfalds","Canada","PO Box 1690","","","AB","T0M 0J0"
"Eagle Builders","2154830","Shipping","Blackfalds","Canada","27322-17 Twp Rd 394","Aspelund Industrial Park","","AB","T0M 0J0"
"Eagle Creek Farms","2350909","Shipping and Billing","Atkinson","USA","47759 883rd Road","","","NE","68713"
"Early Bird Feed Mill","1989237","Shipping And Billing","Goodfield","USA","381 State Route 117","","","IL","61742"
"East End Colony Chicken Mill","1989239","Billing","Havre","USA","PO Box 297","","","MT","59501"
"East End Colony Chicken Mill","1989239","Shipping","Havre","USA","Shepard Road","","","MT","59501"
"East End Colony Corporate","2955773","","Havre","USA","Shephard Road","PO Box 297","","MT","59501"
"East End Colony Hog Mill","1989240","Billing","Havre","USA","PO Box 297","","","MT","59501"
"East End Colony Hog Mill","1989240","Shipping","Havre","USA","Shepard Road","","","MT","59501"
"East Nashville Beer Works","2816845","","Nashville","USA","320 E Trinity Lane","","","TN","37207"
"East Raymond Colony ","1989245","Shipping And Billing","Raymond","Canada","PO Box 1279","","","AB","T0K 2S0"
"Eastland Feed And Grain","1989247","Shipping And Billing","Shannon ","USA","210 N Stanton Road","","","IL","61708"
"Easy Automation Inc. ","2472663","","","","","","","",""
"Eatonia Colony","2008259","Shipping And Billing","Eatonia","Canada","Box 160","","","SK","S0L 0Y0"
"Ebenfeld Colony","2920145","Shipping","Moosejaw","Canada","PO Box 1060","","","SK","S6H 4P8"
"EcoMaterial Technologies","2975702","","","","","","","",""
"Economy Feed Mill","2324786","Shipping","Glen Haven","USA","11879- 12099 County Road V","","","WI","53810"
"Egg Innovations","1989248","Shipping And Billing","Cromwell","USA","578 North Jefferson","","","IN","46732"
"Eichelberger Milling","1989249","Shipping","Wayland","USA","3386 Wayland Road","","","IA","52654"
"Eichelberger Milling","1989249","Billing","Wayland","USA","208 W Depot Street","","","IA","52654"
"Eichner Hog Farm","1989250","Shipping And Billing","Hamburg","USA","13625 Yale Avenue","","","MN","55339"
"Elbow Lake Coop Grain","2981328","Shipping","Nashua","USA","109 1st Street SE","","","MN","56565"
"Elbow Lake Coop Grain","2981328","Billing","Elbow lake","USA","PO Box 68","","","MN","56531"
"Element, LLC (ICM)","2041969","Shipping","Colwich","USA","PO Box 397","","","KS","67030"
"Elite Feed Source Ltd","2010345","Shipping","Woodville","Canada","510 Bligh Road","","","NS","B0P 1G0"
"Elite Feed Source Ltd","2010345","Billing","Hortonville","Canada","19 Middle Street","","","NS","B4P 2R3"
"Elite Stock Farms","2010294","Shipping And Billing","Outlook","Canada","Box 1098","","","SK","F0L 2N0"
"Elk Creek Colony","1989252","Shipping And Billing","Augusta","USA","2011 Allen Road","","","MT","59410"
"Elmendorf Colony","1989251","Shipping And Billing","Mountain Lake","USA","42668 600th Avenue","","","MN","56159"
"EM Heard And Son","1989233","Shipping And Billing","Rockfield","USA","3767 Galloway Mill Road","","","KY","42274"
"Emerald Spring Dairy","2251266","Shipping and Billing","Plainview","USA","10229 County Road 41","","","Minnesota","55964"
"EPL Feed, LLC","2957217","","Sumas","USA","411 W Front Street","","","WA","98295"
"Ernest Smith Farms","1989238","Shipping And Billing","Garland","USA","250 Bellgrade Ave","PO Box 741","","NC","28441"
"Evergreen Colony","1989255","Shipping And Billing","Faulkton","USA","35691 156th Street","","","SD","57438"
"Evonik Corporation","2075085","Shipping And Billing","Kennesaw","USA","1701 Barrett Lakes Blvd","","","GA","30144"
"Faberdale Dairies LTD","1989257","Shipping And Billing","Tees","Canada","RR 1","126 E Canal Garden","","AB","T0C 2N0"
"Fairfield Colony","2955072","Shipping","Taber","Canada","Box 4390","","","AB","T1G 2C8"
"Fairhaven Colony","1989258","Shipping And Billing","Ulm","USA","PO Box 29","","","MT","59485"
"Fairview Colony","1989259","Shipping And Billing","LaMoure","USA","9644 74th Street NE","","","ND","58458"
"Fairville Colony","2188389","Shipping","Bassano","Canada","PO Box 1020","","","AB","T0J 0B0"
"Falling Knife Brewing","2152095","Shipping","Minneapolis","USA","783 Harding Street NE Suite 100","","","MN","55413"
"Famo Feeds","2891602","Shipping And Billing","Freeport","USA","446 Industrial Drive","","","MN","56331"
"Famsun","2008203","Shipping","Manila","Phillippines","1605","","","",""
"Far-Gaze Farms","2159065","Shipping","Northfield","USA","10180 90th Street East","","","MN","55057"
